version,created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,patches,conductor,rollbacks,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
1.36.0-wmf.10,2020-08-02 23:29:55,2020-09-18 18:15:31,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/405feff7,n,z",4041936.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 01:50:29,2020-09-21 16:44:55,1,4,5,3,"https://gerrit.wikimedia.org/r/#/q/96b266d5,n,z",399266.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-21 14:19:08,2020-09-21 14:52:50,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/0a603dd0,n,z",2022.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-04 11:47:42,2020-09-21 13:24:40,4,0,4,5,"https://gerrit.wikimedia.org/r/#/q/169ab496,n,z",1474618.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-04 14:24:51,2020-09-21 18:40:32,371,258,629,15,"https://gerrit.wikimedia.org/r/#/q/85a5d96e,n,z",1484141.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-21 07:31:35,2020-09-21 10:56:45,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/a276326a,n,z",12310.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 03:14:46,2020-09-21 07:58:52,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/512a8926,n,z",189846.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-13 14:05:07,2020-09-22 01:50:04,39,5,44,12,"https://gerrit.wikimedia.org/r/#/q/0adc2707,n,z",733497.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 09:01:20,2020-09-21 08:25:03,185,55,240,8,"https://gerrit.wikimedia.org/r/#/q/1ff85af3,n,z",343423.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 12:08:20,2020-09-21 13:54:22,60,46,106,5,"https://gerrit.wikimedia.org/r/#/q/ce58f25c,n,z",265562.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 21:37:10,2020-09-18 10:54:54,9,1,10,7,"https://gerrit.wikimedia.org/r/#/q/328a36d1,n,z",307064.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-15 15:47:47,2020-09-18 13:09:18,97,37,134,12,"https://gerrit.wikimedia.org/r/#/q/58548161,n,z",249691.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-16 13:28:15,2020-09-16 14:48:28,8,8,16,2,"https://gerrit.wikimedia.org/r/#/q/3b548a4f,n,z",4813.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-16 09:26:29,2020-09-16 12:47:15,13,53,66,4,"https://gerrit.wikimedia.org/r/#/q/4e56f7bc,n,z",12046.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 13:54:22,2020-09-16 12:29:05,64,10,74,2,"https://gerrit.wikimedia.org/r/#/q/d6f79493,n,z",167683.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 19:03:31,2020-09-16 12:47:11,120,43,163,3,"https://gerrit.wikimedia.org/r/#/q/6d756b16,n,z",150220.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 13:31:48,2020-09-16 12:23:00,85,16,101,10,"https://gerrit.wikimedia.org/r/#/q/e753c5fb,n,z",168672.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-15 14:27:03,2020-09-15 14:51:05,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/ecbf27ac,n,z",1442.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-13 15:23:54,2020-09-21 10:59:05,10,0,10,9,"https://gerrit.wikimedia.org/r/#/q/ba95048a,n,z",3353711.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-17 14:03:48,2020-09-15 11:04:45,1,3,4,6,"https://gerrit.wikimedia.org/r/#/q/153ec43d,n,z",2494857.0,381,Ahmon Dancy,1,108,0,0,4,1809157
